Threads (p),T_P (ms),T_P (s),Speedup (T_S/T_P),Efficiency (Speedup/p)
1,225.595,0.225595,1.1081805891088012,1.1081805891088012
2,135.667,0.135667,1.8427473151171618,0.9213736575585809
4,81.594,0.081594,3.063950780694659,0.7659876951736647
8,61.9764,0.0619764,4.033793508496783,0.5042241885620978
